Energy (eV),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
5.42626663,4.65E-19,6.53E-62,4.58E-39,1.20E-05,2.66E-28,6.54E-39
5.420624716,5.45E-19,1.06E-61,6.24E-39,1.36E-05,3.46E-28,8.91E-39
5.414982801,6.38E-19,1.71E-61,8.49E-39,1.55E-05,4.51E-28,1.21E-38
5.409340887,7.46E-19,2.77E-61,1.16E-38,1.76E-05,5.86E-28,1.65E-38
5.403698973,8.73E-19,4.49E-61,1.57E-38,2.00E-05,7.62E-28,2.24E-38
5.398057059,1.02E-18,7.25E-61,2.14E-38,2.27E-05,9.91E-28,3.05E-38
5.392415145,1.19E-18,1.17E-60,2.90E-38,2.57E-05,1.29E-27,4.14E-38
5.38677323,1.40E-18,1.89E-60,3.94E-38,2.91E-05,1.67E-27,5.63E-38
5.381131316,1.63E-18,3.04E-60,5.35E-38,3.30E-05,2.17E-27,7.64E-38
5.375489402,1.91E-18,4.90E-60,7.25E-38,3.74E-05,2.81E-27,1.04E-37
5.369847488,2.23E-18,7.88E-60,9.84E-38,4.23E-05,3.64E-27,1.41E-37
5.364205574,2.60E-18,1.27E-59,1.33E-37,4.79E-05,4.72E-27,1.90E-37
5.358563659,3.03E-18,2.04E-59,1.81E-37,5.41E-05,6.11E-27,2.58E-37
5.352921745,3.54E-18,3.27E-59,2.44E-37,6.12E-05,7.90E-27,3.49E-37
5.347279831,4.13E-18,5.24E-59,3.31E-37,6.91E-05,1.02E-26,4.72E-37
5.341637917,4.82E-18,8.40E-59,4.47E-37,7.80E-05,1.32E-26,6.39E-37
5.335996002,5.62E-18,1.35E-58,6.05E-37,8.81E-05,1.71E-26,8.64E-37
5.330354088,6.55E-18,2.15E-58,8.17E-37,9.93E-05,2.20E-26,1.17E-36
5.324712174,7.64E-18,3.44E-58,1.10E-36,0.000111973,2.85E-26,1.58E-36
5.31907026,8.90E-18,5.50E-58,1.49E-36,0.000126164,3.67E-26,2.13E-36
5.313428346,1.04E-17,8.78E-58,2.01E-36,0.000142081,4.73E-26,2.87E-36
5.307786431,1.21E-17,1.40E-57,2.71E-36,0.000159926,6.10E-26,3.87E-36
5.302144517,1.41E-17,2.23E-57,3.65E-36,0.00017992,7.86E-26,5.21E-36
5.296502603,1.64E-17,3.56E-57,4.92E-36,0.00020231,1.01E-25,7.02E-36
5.290860689,1.91E-17,5.66E-57,6.62E-36,0.000227371,1.30E-25,9.45E-36
5.285218775,2.22E-17,9.00E-57,8.90E-36,0.000255406,1.67E-25,1.27E-35
5.27957686,2.58E-17,1.43E-56,1.20E-35,0.000286752,2.15E-25,1.71E-35
5.273934946,3.00E-17,2.27E-56,1.61E-35,0.000321781,2.77E-25,2.30E-35
5.268293032,3.49E-17,3.60E-56,2.16E-35,0.000360905,3.55E-25,3.09E-35
5.262651118,4.05E-17,5.71E-56,2.90E-35,0.00040458,4.56E-25,4.15E-35
5.257009204,4.71E-17,9.04E-56,3.90E-35,0.00045331,5.85E-25,5.57E-35
5.251367289,5.47E-17,1.43E-55,5.23E-35,0.00050765,7.50E-25,7.47E-35
5.245725375,6.35E-17,2.26E-55,7.01E-35,0.000568215,9.61E-25,1.00E-34
5.240083461,7.38E-17,3.57E-55,9.39E-35,0.000635681,1.23E-24,1.34E-34
5.234441547,8.56E-17,5.64E-55,1.26E-34,0.000710796,1.58E-24,1.80E-34
5.228799632,9.94E-17,8.90E-55,1.68E-34,0.000794382,2.02E-24,2.41E-34
5.223157718,1.15E-16,1.40E-54,2.25E-34,0.000887346,2.58E-24,3.22E-34
5.217515804,1.34E-16,2.21E-54,3.01E-34,0.000990684,3.30E-24,4.31E-34
5.21187389,1.55E-16,3.48E-54,4.03E-34,0.001105493,4.21E-24,5.76E-34
5.206231976,1.80E-16,5.47E-54,5.38E-34,0.001232979,5.38E-24,7.69E-34
5.200590061,2.08E-16,8.59E-54,7.19E-34,0.001374467,6.87E-24,1.03E-33
5.194948147,2.41E-16,1.35E-53,9.59E-34,0.00153141,8.76E-24,1.37E-33
5.189306233,2.80E-16,2.11E-53,1.28E-33,0.001705406,1.12E-23,1.83E-33
5.183664319,3.24E-16,3.32E-53,1.71E-33,0.001898204,1.42E-23,2.44E-33
5.178022405,3.75E-16,5.19E-53,2.27E-33,0.002111721,1.81E-23,3.25E-33
5.17238049,4.34E-16,8.13E-53,3.03E-33,0.00234806,2.31E-23,4.33E-33
5.166738576,5.02E-16,1.27E-52,4.03E-33,0.00260952,2.94E-23,5.76E-33
5.161096662,5.81E-16,1.99E-52,5.36E-33,0.002898618,3.74E-23,7.66E-33
5.155454748,6.72E-16,3.10E-52,7.13E-33,0.003218104,4.75E-23,1.02E-32
5.149812833,7.77E-16,4.83E-52,9.48E-33,0.003570984,6.04E-23,1.35E-32
5.144170919,8.98E-16,7.54E-52,1.26E-32,0.003960542,7.67E-23,1.80E-32
5.138529005,1.04E-15,1.17E-51,1.67E-32,0.00439036,9.73E-23,2.39E-32
5.132887091,1.20E-15,1.83E-51,2.22E-32,0.004864347,1.23E-22,3.17E-32
5.127245177,1.38E-15,2.84E-51,2.95E-32,0.005386761,1.57E-22,4.21E-32
5.121603262,1.60E-15,4.41E-51,3.90E-32,0.005962243,1.98E-22,5.58E-32
5.115961348,1.85E-15,6.85E-51,5.17E-32,0.006595845,2.51E-22,7.39E-32
5.110319434,2.13E-15,1.06E-50,6.85E-32,0.007293064,3.18E-22,9.79E-32
5.10467752,2.46E-15,1.65E-50,9.07E-32,0.008059877,4.03E-22,1.30E-31
5.099035606,2.84E-15,2.55E-50,1.20E-31,0.00890278,5.09E-22,1.72E-31
5.093393691,3.27E-15,3.95E-50,1.59E-31,0.009828827,6.44E-22,2.27E-31
5.087751777,3.77E-15,6.11E-50,2.10E-31,0.010845674,8.13E-22,3.00E-31
5.082109863,4.35E-15,9.44E-50,2.77E-31,0.011961626,1.03E-21,3.96E-31
5.076467949,5.01E-15,1.46E-49,3.66E-31,0.013185685,1.30E-21,5.23E-31
5.070826035,5.77E-15,2.25E-49,4.83E-31,0.014527604,1.64E-21,6.90E-31
5.06518412,6.65E-15,3.46E-49,6.37E-31,0.015997941,2.06E-21,9.10E-31
5.059542206,7.65E-15,5.34E-49,8.40E-31,0.017608121,2.60E-21,1.20E-30
5.053900292,8.81E-15,8.21E-49,1.11E-30,0.019370496,3.27E-21,1.58E-30
5.048258378,1.01E-14,1.26E-48,1.46E-30,0.021298416,4.12E-21,2.08E-30
5.042616463,1.17E-14,1.94E-48,1.92E-30,0.023406295,5.18E-21,2.74E-30
5.036974549,1.34E-14,2.98E-48,2.53E-30,0.02570969,6.52E-21,3.61E-30
5.031332635,1.54E-14,4.57E-48,3.32E-30,0.028225383,8.20E-21,4.75E-30
5.025690721,1.77E-14,7.01E-48,4.37E-30,0.030971458,1.03E-20,6.24E-30
5.020048807,2.04E-14,1.07E-47,5.74E-30,0.033967397,1.29E-20,8.19E-30
5.014406892,2.34E-14,1.64E-47,7.53E-30,0.037234172,1.62E-20,1.08E-29
5.008764978,2.69E-14,2.51E-47,9.88E-30,0.040794344,2.04E-20,1.41E-29
5.003123064,3.09E-14,3.84E-47,1.30E-29,0.044672167,2.55E-20,1.85E-29
4.99748115,3.55E-14,5.86E-47,1.70E-29,0.0488937,3.20E-20,2.43E-29
4.991839236,4.07E-14,8.94E-47,2.23E-29,0.053486921,4.01E-20,3.18E-29
4.986197321,4.68E-14,1.36E-46,2.92E-29,0.05848185,5.02E-20,4.17E-29
4.980555407,5.37E-14,2.08E-46,3.82E-29,0.063910678,6.28E-20,5.46E-29
4.974913493,6.15E-14,3.16E-46,5.00E-29,0.069807898,7.85E-20,7.14E-29
4.969271579,7.06E-14,4.81E-46,6.53E-29,0.076210447,9.82E-20,9.34E-29
4.963629664,8.09E-14,7.30E-46,8.54E-29,0.083157854,1.23E-19,1.22E-28
4.95798775,9.27E-14,1.11E-45,1.12E-28,0.090692391,1.53E-19,1.59E-28
4.952345836,1.06E-13,1.68E-45,1.46E-28,0.098859235,1.91E-19,2.08E-28
4.946703922,1.22E-13,2.55E-45,1.90E-28,0.107706634,2.38E-19,2.72E-28
4.941062008,1.39E-13,3.86E-45,2.48E-28,0.117286081,2.97E-19,3.54E-28
4.935420093,1.60E-13,5.85E-45,3.23E-28,0.127652495,3.70E-19,4.62E-28
4.929778179,1.83E-13,8.84E-45,4.21E-28,0.138864412,4.61E-19,6.02E-28
4.924136265,2.09E-13,1.34E-44,5.49E-28,0.150984172,5.74E-19,7.84E-28
4.918494351,2.39E-13,2.02E-44,7.14E-28,0.164078131,7.15E-19,1.02E-27
4.912852437,2.73E-13,3.04E-44,9.30E-28,0.178216862,8.89E-19,1.33E-27
4.907210522,3.13E-13,4.59E-44,1.21E-27,0.193475376,1.11E-18,1.73E-27
4.901568608,3.57E-13,6.91E-44,1.57E-27,0.209933342,1.37E-18,2.24E-27
4.895926694,4.08E-13,1.04E-43,2.04E-27,0.227675319,1.70E-18,2.92E-27
4.89028478,4.67E-13,1.56E-43,2.65E-27,0.246790991,2.12E-18,3.79E-27
4.884642865,5.33E-13,2.35E-43,3.44E-27,0.267375411,2.62E-18,4.91E-27
4.879000951,6.09E-13,3.53E-43,4.46E-27,0.289529248,3.25E-18,6.37E-27
4.873359037,6.95E-13,5.29E-43,5.78E-27,0.313359045,4.03E-18,8.26E-27
4.867717123,7.93E-13,7.94E-43,7.49E-27,0.338977475,5.00E-18,1.07E-26
4.862075209,9.05E-13,1.19E-42,9.71E-27,0.366503613,6.18E-18,1.39E-26
4.856433294,1.03E-12,1.78E-42,1.26E-26,0.396063202,7.65E-18,1.79E-26
4.85079138,1.18E-12,2.66E-42,1.63E-26,0.42778893,9.46E-18,2.32E-26
4.845149466,1.34E-12,3.98E-42,2.10E-26,0.46182071,1.17E-17,3.00E-26
4.839507552,1.53E-12,5.94E-42,2.72E-26,0.49830596,1.45E-17,3.88E-26
4.833865638,1.74E-12,8.86E-42,3.51E-26,0.537399889,1.78E-17,5.01E-26
4.828223723,1.99E-12,1.32E-41,4.53E-26,0.579265785,2.20E-17,6.47E-26
4.822581809,2.26E-12,1.97E-41,5.85E-26,0.624075303,2.72E-17,8.36E-26
4.816939895,2.58E-12,2.93E-41,7.54E-26,0.672008753,3.35E-17,1.08E-25
4.811297981,2.93E-12,4.36E-41,9.73E-26,0.723255388,4.13E-17,1.39E-25
4.805656067,3.34E-12,6.47E-41,1.25E-25,0.778013691,5.08E-17,1.79E-25
4.800014152,3.80E-12,9.61E-41,1.61E-25,0.83649166,6.26E-17,2.31E-25
4.794372238,4.32E-12,1.43E-40,2.08E-25,0.898907089,7.70E-17,2.97E-25
4.788730324,4.91E-12,2.11E-40,2.67E-25,0.965487844,9.47E-17,3.82E-25
4.78308841,5.59E-12,3.13E-40,3.44E-25,1.03647213,1.16E-16,4.91E-25
4.777446495,6.35E-12,4.64E-40,4.42E-25,1.112108759,1.43E-16,6.31E-25
4.771804581,7.21E-12,6.86E-40,5.68E-25,1.192657403,1.76E-16,8.11E-25
4.766162667,8.20E-12,1.01E-39,7.29E-25,1.278388837,2.16E-16,1.04E-24
4.760520753,9.31E-12,1.50E-39,9.35E-25,1.369585171,2.64E-16,1.34E-24
4.754878839,1.06E-11,2.21E-39,1.20E-24,1.466540073,3.24E-16,1.71E-24
4.749236924,1.20E-11,3.25E-39,1.54E-24,1.569558974,3.97E-16,2.20E-24
4.74359501,1.36E-11,4.79E-39,1.97E-24,1.678959253,4.87E-16,2.82E-24
4.737953096,1.54E-11,7.06E-39,2.52E-24,1.795070412,5.96E-16,3.61E-24
4.732311182,1.75E-11,1.04E-38,3.23E-24,1.918234223,7.29E-16,4.61E-24
4.726669268,1.99E-11,1.53E-38,4.13E-24,2.048804859,8.91E-16,5.90E-24
4.721027353,2.25E-11,2.24E-38,5.29E-24,2.187148998,1.09E-15,7.55E-24
4.715385439,2.55E-11,3.29E-38,6.76E-24,2.333645905,1.33E-15,9.65E-24
4.709743525,2.89E-11,4.82E-38,8.63E-24,2.488687476,1.63E-15,1.23E-23
4.704101611,3.28E-11,7.06E-38,1.10E-23,2.652678269,1.98E-15,1.57E-23
4.698459696,3.71E-11,1.03E-37,1.41E-23,2.826035488,2.42E-15,2.01E-23
4.692817782,4.20E-11,1.51E-37,1.79E-23,3.009188939,2.95E-15,2.56E-23
4.687175868,4.75E-11,2.21E-37,2.29E-23,3.202580956,3.59E-15,3.27E-23
4.681533954,5.38E-11,3.22E-37,2.91E-23,3.406666273,4.38E-15,4.16E-23
4.67589204,6.09E-11,4.70E-37,3.71E-23,3.621911875,5.33E-15,5.30E-23
4.670250125,6.88E-11,6.86E-37,4.72E-23,3.848796791,6.49E-15,6.75E-23
4.664608211,7.78E-11,9.99E-37,6.01E-23,4.087811852,7.89E-15,8.58E-23
4.658966297,8.80E-11,1.45E-36,7.64E-23,4.339459399,9.59E-15,1.09E-22
4.653324383,9.94E-11,2.12E-36,9.71E-23,4.604252944,1.16E-14,1.39E-22
4.647682469,1.12E-10,3.07E-36,1.23E-22,4.882716778,1.41E-14,1.76E-22
4.642040554,1.27E-10,4.46E-36,1.57E-22,5.175385531,1.72E-14,2.24E-22
4.63639864,1.43E-10,6.48E-36,1.99E-22,5.482803672,2.08E-14,2.84E-22
4.630756726,1.62E-10,9.39E-36,2.52E-22,5.805524964,2.52E-14,3.60E-22
4.625114812,1.83E-10,1.36E-35,3.20E-22,6.144111847,3.06E-14,4.57E-22
4.619472898,2.06E-10,1.97E-35,4.05E-22,6.499134776,3.70E-14,5.78E-22
4.613830983,2.32E-10,2.85E-35,5.13E-22,6.871171489,4.48E-14,7.33E-22
4.608189069,2.62E-10,4.12E-35,6.49E-22,7.260806222,5.43E-14,9.27E-22
4.602547155,2.96E-10,5.95E-35,8.21E-22,7.668628853,6.56E-14,1.17E-21
4.596905241,3.33E-10,8.58E-35,1.04E-21,8.095233988,7.93E-14,1.48E-21
4.591263326,3.75E-10,1.24E-34,1.31E-21,8.541219985,9.58E-14,1.87E-21
4.585621412,4.23E-10,1.78E-34,1.66E-21,9.007187906,1.16E-13,2.37E-21
4.579979498,4.76E-10,2.57E-34,2.09E-21,9.493740413,1.40E-13,2.99E-21
4.574337584,5.36E-10,3.69E-34,2.64E-21,10.00148059,1.68E-13,3.77E-21
4.56869567,6.04E-10,5.30E-34,3.33E-21,10.53101071,2.03E-13,4.76E-21
4.563053755,6.80E-10,7.62E-34,4.20E-21,11.08293093,2.45E-13,6.00E-21
4.557411841,7.65E-10,1.09E-33,5.29E-21,11.65783793,2.95E-13,7.56E-21
