Energy(eV) / Compound number,1,2,3,4,5
2.420679,131.4794,21.89337,28.46157,81.13641,29.26407
2.386638,126.1938,30.86755,40.12792,71.96541,37.74132
2.352597,124.0776,42.2776,54.96094,67.18195,49.7892
2.318556,128.2619,56.25192,73.12753,67.36215,65.26916
2.284516,140.265,72.70814,94.5206,72.40214,83.88695
2.250475,159.8849,91.29511,118.6837,81.64409,105.1112
2.216434,185.5324,111.3604,144.7685,94.03212,128.1161
2.182393,214.7457,131.9571,171.5442,108.2625,151.7715
2.148352,244.6762,151.8984,197.468,122.916,174.6912
2.114312,272.4625,169.8606,220.8188,136.5761,195.3426
2.080271,295.5016,184.5232,239.8801,147.9399,212.2026
2.04623,311.6586,194.7277,253.146,155.9249,223.9372
2.012189,319.4372,199.6289,259.5176,159.7633,229.5733
1.978148,318.1051,198.8098,258.4528,159.0719,228.6313
1.944107,307.7476,192.3406,250.0428,153.8816,221.1917
1.910067,289.2303,180.7685,234.9991,144.6181,207.8838
1.876026,264.0667,165.0416,214.5541,132.0344,189.7978
1.841985,234.2086,146.3803,190.2944,117.1046,168.3374
1.807944,201.7952,126.122,163.9586,100.8977,145.0403
1.773903,168.9031,105.5644,137.2338,84.45158,121.3991
1.739863,137.3356,85.83476,111.5852,68.66782,98.70997
1.705822,108.4795,67.79966,88.13955,54.23973,77.96961
1.671781,83.2397,52.02481,67.63226,41.61985,59.82854
1.63774,62.04865,38.7804,50.41452,31.02432,44.59746
1.603699,44.9317,28.08231,36.507,22.46585,32.29466
1.569659,31.60764,19.75478,25.68121,15.80382,22.71799
1.535618,21.59982,13.49989,17.54985,10.79991,15.52487
1.501577,14.33926,8.96204,11.65065,7.169632,10.30635
1.467536,9.247457,5.779661,7.513559,4.623729,6.64661
1.433495,5.79344,3.6209,4.70717,2.89672,4.164035
1.399454,3.525896,2.203685,2.864791,1.762948,2.534238
1.365414,2.084593,1.30287,1.693732,1.042296,1.498301
1.331373,1.197269,0.748293,0.9727809,0.5986344,0.860537
1.297332,0.6680068,0.4175042,0.5427555,0.3340034,0.4801299
1.263291,0.3620669,0.2262918,0.2941793,0.1810334,0.2602356
1.22925,0.1906406,0.1191504,0.1548955,0.09532031,0.1370229
1.19521,0.09751263,0.06094539,0.07922901,0.04875631,0.0700872
1.161169,0.04845348,0.03028343,0.03936846,0.02422674,0.03482594
1.127128,0.0233888,0.014618,0.0190034,0.0116944,0.0168107
