Wavenumber (cm-1) / Compound number,1,2,3,4,5
82.20339,7.732609e-29,0,4.282167e-210,0,2.002409e-83
83.05085,5.407055e-28,0,1.838159e-208,0,3.173329e-82
83.89831,3.673833e-27,0,7.775661e-207,0,4.929618e-81
84.74576,2.425504e-26,0,3.241351e-205,0,7.506673e-80
85.59322,1.555995e-25,0,1.331525e-203,0,1.120515e-78
86.44068,9.699257e-25,0,5.390232e-202,0,1.639548e-77
87.28814,5.874793e-24,0,2.150305e-200,0,2.351615e-76
88.13559,3.457566e-23,0,8.453321e-199,0,3.306318e-75
88.98305,1.977299e-22,0,3.274834e-197,0,4.556788e-74
89.83051,1.098748e-21,0,1.250218e-195,0,6.15615e-73
90.67797,5.932632e-21,0,4.703453e-194,0,8.152588e-72
91.52542,3.112582e-20,0,1.743743e-192,0,1.058322e-70
92.37288,1.586785e-19,0,6.370638e-191,0,1.346717e-69
93.22034,7.860299e-19,0,2.293601e-189,0,1.67985e-68
94.0678,3.783415e-18,0,8.137435e-188,0,2.054002e-67
94.91525,1.769509e-17,0,2.845062e-186,0,2.461883e-66
95.76271,8.041655e-17,0,9.802359e-185,0,2.892476e-65
96.61017,3.551092e-16,0,3.328159e-183,0,3.331257e-64
97.45763,1.52371e-15,0,1.113556e-181,0,3.76082e-63
98.30508,6.35282e-15,0,3.671596e-180,0,4.161913e-62
99.15254,2.57368e-14,0,1.192977e-178,0,4.51481e-61
100,1.013133e-13,0,3.819831e-177,0,4.800892e-60
100.8475,3.875274e-13,0,1.205288e-175,0,5.004267e-59
101.6949,1.44033e-12,0,3.747762e-174,0,5.113225e-58
102.5424,5.201703e-12,0,1.148386e-172,0,5.121362e-57
103.3898,1.825378e-11,0,3.467674e-171,0,5.028193e-56
104.2373,6.224209e-11,0,1.031866e-169,0,4.83921e-55
105.0847,2.06224e-10,0,3.025819e-168,0,4.565339e-54
105.9322,6.639238e-10,0,8.743742e-167,0,4.221897e-53
106.7797,2.076926e-09,0,2.489925e-165,0,3.827174e-52
107.6271,6.313173e-09,0,6.987307e-164,0,3.400829e-51
108.4746,1.864654e-08,0,1.932271e-162,0,2.962289e-50
109.322,5.351464e-08,0,5.265757e-161,0,2.529333e-49
110.1695,1.492351e-07,0,1.414126e-159,0,2.116999e-48
111.0169,4.043831e-07,0,3.7424e-158,0,1.736886e-47
111.8644,1.064729e-06,0,9.759935e-157,0,1.396876e-46
112.7119,2.72401e-06,0,2.508293e-155,0,1.101236e-45
113.5593,6.771774e-06,0,6.352492e-154,0,8.510189e-45
114.4068,1.635762e-05,0,1.585421e-152,0,6.446647e-44
115.2542,3.839383e-05,0,3.899238e-151,0,4.787013e-43
116.1017,8.756421e-05,0,9.450386e-150,0,3.484427e-42
116.9492,0.0001940509,0,2.257116e-148,0,2.486188e-41
117.7966,0.000417858,0,5.312427e-147,0,1.738893e-40
118.6441,0.0008743103,0,1.232159e-145,0,1.192196e-39
119.4915,0.001777568,0,2.816274e-144,0,8.01232e-39
120.339,0.003511647,0,6.343336e-143,0,5.278434e-38
121.1864,0.006740921,0,1.407976e-141,0,3.408693e-37
122.0339,0.01257336,0,3.079693e-140,0,2.157778e-36
122.8814,0.02278807,0,6.638258e-139,0,1.338941e-35
123.7288,0.0401317,0,1.410053e-137,0,8.144273e-35
124.5763,0.06867386,0,2.951559e-136,0,4.856006e-34
125.4237,0.1141877,0,6.088385e-135,0,2.838194e-33
126.2712,0.1844891,0,1.23762e-133,0,1.626076e-32
127.1186,0.2896317,0,2.479175e-132,0,9.132208e-32
127.9661,0.44182,0,4.893974e-131,0,5.027437e-31
128.8136,0.6548903,0,9.520302e-130,0,2.713024e-30
129.661,0.9432255,0,1.825049e-128,0,1.435147e-29
130.5085,1.320038,0,3.447726e-127,0,7.441756e-29
131.3559,1.795069,0,6.418385e-126,0,3.7826e-28
132.2034,2.371918,0,1.177479e-124,0,1.884696e-27
133.0508,3.045384,0,2.128705e-123,0,9.205096e-27
133.8983,3.799342,0,3.792385e-122,0,4.407084e-26
134.7458,4.605731,0,6.658001e-121,0,2.068285e-25
135.5932,5.42516,0,1.151887e-119,0,9.514924e-25
136.4407,6.209411,0,1.96386e-118,0,4.290781e-24
137.2881,6.905771,0,3.299483e-117,0,1.896721e-23
138.1356,7.46273,0,5.462807e-116,0,8.218762e-23
138.9831,7.83623,0,8.912928e-115,0,3.490965e-22
139.8305,7.995405,0,1.433044e-113,0,1.453519e-21
140.678,7.926795,0,2.270562e-112,0,5.932417e-21
141.5254,7.636224,0,3.545209e-111,0,2.373443e-20
142.3729,7.147983,0,5.454876e-110,0,9.308118e-20
143.2203,6.50148,0,8.271086e-109,0,3.578335e-19
144.0678,5.74599,0,1.235876e-107,0,1.348454e-18
144.9153,4.934479,0,1.819792e-106,0,4.981123e-18
145.7627,4.117576,0,2.640604e-105,0,1.803659e-17
146.6102,3.338611,0,3.775891e-104,0,6.402029e-17
147.4576,2.630352,0,5.320717e-103,0,2.227495e-16
148.3051,2.013658,0,7.388488e-102,0,7.597173e-16
149.1525,1.497895,0,1.011057e-100,0,2.539939e-15
150,1.082682,0,1.363422e-99,0,8.32397e-15
150.8475,0.7604042,0,1.811839e-98,0,2.674076e-14
151.6949,0.5189336,0,2.372703e-97,0,8.420793e-14
152.5424,0.3441145,0,3.061977e-96,0,2.599371e-13
153.3898,0.2217267,0,3.893992e-95,0,7.865377e-13
154.2373,0.1388216,0,4.880033e-94,0,2.332958e-12
155.0847,0.08445389,0,6.026778e-93,0,6.78313e-12
155.9322,0.04992364,0,7.334697e-92,0,1.933256e-11
156.7797,0.02867588,0,8.796578e-91,0,5.401132e-11
157.6271,0.01600483,0,1.039633e-89,0,1.479163e-10
158.4746,0.008679791,0,1.210824e-88,0,3.97085e-10
159.322,0.004573949,0,1.389685e-87,0,1.044929e-09
160.1695,0.002342056,0,1.571761e-86,0,2.695419e-09
161.0169,0.001165271,0,1.751827e-85,0,6.815562e-09
161.8644,0.000563353,0,1.924113e-84,0,1.689325e-08
162.7119,0.0002646416,0,2.082593e-83,0,4.104502e-08
163.5593,0.0001207979,0,2.22133e-82,0,9.775612e-08
164.4068,5.357777e-05,0,2.334835e-81,0,2.282251e-07
165.2542,2.309052e-05,0,2.418433e-80,0,5.222986e-07
166.1017,9.669558e-06,0,2.468576e-79,0,1.171684e-06
166.9492,3.934628e-06,0,2.483097e-78,0,2.576546e-06
167.7966,1.555703e-06,0,2.461361e-77,0,5.553942e-06
168.6441,5.977128e-07,0,2.404317e-76,0,1.173548e-05
169.4915,2.232309e-07,0,2.314422e-75,0,2.430728e-05
170.339,8.130083e-08,0,2.195473e-74,0,4.935236e-05
171.1864,2.969828e-08,0,2.052336e-73,0,9.822351e-05
172.0339,1.340466e-08,0,1.890615e-72,0,0.000191628
172.8814,1.420524e-08,0,1.716298e-71,0,0.0003664702
173.7288,3.312735e-08,0,1.535383e-70,0,0.000686996
174.5763,9.159698e-08,0,1.353553e-69,0,0.001262426
175.4237,2.524301e-07,0,1.175895e-68,0,0.002274016
176.2712,6.779005e-07,0,1.006692e-67,0,0.004015291
177.1186,1.769506e-06,0,8.49296e-67,0,0.00694987
177.9661,4.488251e-06,0,7.060838e-66,0,0.01179159
178.8136,1.106185e-05,0,5.784795e-65,0,0.01961119
179.661,2.649125e-05,0,4.670404e-64,0,0.03197214
180.5085,6.164544e-05,0,3.715826e-63,0,0.05109465
181.3559,0.0001393874,0,2.913339e-62,0,0.08004148
182.2034,0.0003062455,0,2.250927e-61,0,0.122911
183.0508,0.0006537923,0,1.713824e-60,0,0.1850131
183.8983,0.001356231,0,1.285896e-59,0,0.2729923
184.7458,0.002733705,0,9.507796e-59,0,0.3948518
185.5932,0.005354185,0,6.927693e-58,0,0.559827
186.4407,0.01018964,0,4.9743e-57,0,0.7780538
187.2881,0.01884293,0,3.519735e-56,0,1.059989
188.1356,0.03385803,0,2.454272e-55,0,1.415563
188.9831,0.05911515,0,1.686436e-54,0,1.853075
189.8305,0.1002905,0,1.141962e-53,0,2.377896
190.678,0.1653273,0,7.620232e-53,0,2.991085
191.5254,0.2648216,0,5.010941e-52,0,3.688083
192.3729,0.4121791,0,3.24717e-51,0,4.457676
193.2203,0.6233649,0,2.073602e-50,0,5.281441
194.0678,0.9160573,0,1.304909e-49,0,6.133838
194.9153,1.308057,0,8.092263e-49,0,6.9831
195.7627,1.814909,0,4.945317e-48,0,7.792919
196.6102,2.446846,0,2.978194e-47,0,8.524877
197.4576,3.205401,0,1.767447e-46,0,9.141386
198.3051,4.080205,0,1.033652e-45,0,9.608864
199.1525,5.046676,0,5.957132e-45,0,9.900748
200,6.065307,0,3.383254e-44,0,10
200.8475,7.083109,0,1.893505e-43,0,9.900748
201.6949,8.037462,0,1.044319e-42,0,9.608864
202.5424,8.862124,0,5.675894e-42,0,9.141386
203.3898,9.494685,0,3.039976e-41,0,8.524877
204.2373,9.884328,0,1.604503e-40,0,7.792919
205.0847,9.998564,0,8.34537e-40,0,6.9831
205.9322,9.827701,0,4.277453e-39,0,6.133838
206.7797,9.386207,0,2.160526e-38,0,5.281441
207.6271,8.710682,0,1.075396e-37,2.524675e-321,4.457676
208.4746,7.854852,0,5.274873e-37,1.69589e-318,3.688083
209.322,6.882525,0,2.549706e-36,1.103492e-315,2.991085
210.1695,5.859781,0,1.214515e-35,6.976904e-313,2.377896
211.0169,4.847735,0,5.700991e-35,4.286278e-310,1.853075
211.8644,3.896908,0,2.637135e-34,2.558714e-307,1.415563
212.7119,3.043865,0,1.202123e-33,1.484182e-304,1.059989
213.5593,2.310226,0,5.400082e-33,8.3652e-302,0.7780538
214.4068,1.703756,0,2.390486e-32,4.581307e-299,0.559827
215.2542,1.220911,0,1.042814e-31,2.437958e-296,0.3948518
216.1017,0.8501287,0,4.482929e-31,1.260628e-293,0.2729923
216.9492,0.5751871,0,1.899117e-30,6.333906e-291,0.1850131
217.7966,0.3781442,0,7.928226e-30,3.092289e-288,0.122911
218.6441,0.2415626,0,3.261632e-29,1.46694e-285,0.08004148
219.4915,0.1499428,0,1.322296e-28,6.761898e-283,0.05109465
220.339,0.0904369,0,5.282711e-28,3.028647e-280,0.03197214
221.1864,0.05300165,0,2.079791e-27,1.318113e-277,0.01961119
222.0339,0.03018263,0,8.068954e-27,5.574171e-275,0.01179159
222.8814,0.01670123,0,3.084959e-26,2.290509e-272,0.00694987
223.7288,0.008979743,0,1.162294e-25,9.145499e-270,0.004015291
224.5763,0.004691407,0,4.315364e-25,3.548189e-267,0.002274016
225.4237,0.002381585,0,1.578896e-24,1.337611e-264,0.001262426
226.2712,0.001174771,0,5.692775e-24,4.899785e-262,0.000686996
227.1186,0.0005630719,0,2.02269e-23,1.744006e-259,0.0003664702
227.9661,0.0002622397,0,7.082214e-23,6.031741e-257,0.000191628
228.8136,0.0001186744,0,2.443675e-22,2.027035e-254,9.822351e-05
229.661,5.218424e-05,0,8.309074e-22,6.619174e-252,4.935236e-05
230.5085,2.229696e-05,0,2.784174e-21,2.100246e-249,2.430728e-05
231.3559,9.257115e-06,0,9.193368e-21,6.475307e-247,1.173548e-05
232.2034,3.734475e-06,0,2.99149e-20,1.939878e-244,5.553942e-06
233.0508,1.463886e-06,0,9.592574e-20,5.64693e-242,2.576546e-06
233.8983,5.575823e-07,0,3.031219e-19,1.597255e-239,1.171684e-06
234.7458,2.063643e-07,0,9.439178e-19,4.389952e-237,5.222986e-07
235.5932,7.421367e-08,0,2.896581e-18,1.172382e-234,2.282251e-07
236.4407,2.593326e-08,0,8.759346e-18,3.042304e-232,9.775612e-08
237.2881,8.805504e-09,2.470328e-322,2.610312e-17,7.671139e-230,4.104502e-08
238.1356,2.905194e-09,1.800869e-319,7.665627e-17,1.879494e-227,1.689325e-08
238.9831,9.313651e-10,1.185278e-316,2.218388e-16,4.474514e-225,6.815562e-09
239.8305,2.901273e-10,7.580614e-314,6.32648e-16,1.035082e-222,2.695419e-09
240.678,8.781751e-11,4.710993e-311,1.777957e-15,2.32663e-220,1.044929e-09
241.5254,2.58284e-11,2.844752e-308,4.923966e-15,5.081639e-218,3.97085e-10
242.3729,7.381383e-12,1.669168e-305,1.343827e-14,1.07846e-215,1.479163e-10
243.2203,2.049754e-12,9.516555e-303,3.614153e-14,2.223968e-213,5.401132e-11
244.0678,5.530823e-13,5.272095e-300,9.578647e-14,4.456322e-211,1.933256e-11
244.9153,1.450112e-13,2.837988e-297,2.501707e-13,8.676578e-209,6.78313e-12
245.7627,3.694343e-14,1.484437e-294,6.438777e-13,1.641513e-206,2.332958e-12
246.6102,9.145275e-15,7.544611e-292,1.63307e-12,3.017616e-204,7.865377e-13
247.4576,2.199785e-15,3.725939e-289,4.081699e-12,5.390232e-202,2.599371e-13
248.3051,5.141471e-16,1.787963e-286,1.005337e-11,9.355669e-200,8.420793e-14
249.1525,1.167666e-16,8.336912e-284,2.440154e-11,1.577851e-197,2.674076e-14
250,2.576757e-17,3.77725e-281,5.836563e-11,2.585718e-195,8.32397e-15
250.8475,5.525255e-18,1.662915e-278,1.375726e-10,4.117372e-193,2.539939e-15
251.6949,1.151211e-18,7.113581e-276,3.195516e-10,6.370638e-191,7.597173e-16
252.5424,2.330674e-19,2.956857e-273,7.314505e-10,9.577885e-189,2.227495e-16
253.3898,4.584922e-20,1.194253e-270,1.649922e-09,1.399201e-186,6.402029e-17
254.2373,8.764077e-21,4.686905e-268,3.667554e-09,1.986161e-184,1.803659e-17
255.0847,1.627812e-21,1.78731e-265,8.03386e-09,2.739509e-182,4.981123e-18
255.9322,2.937827e-22,6.622734e-263,1.73423e-08,3.671596e-180,1.348454e-18
256.7797,5.151955e-23,2.384507e-260,3.689127e-08,4.781464e-178,3.578335e-19
257.6271,8.778934e-24,8.342263e-258,7.733484e-08,6.050492e-176,9.308118e-20
258.4746,1.453568e-24,2.835913e-255,1.597576e-07,7.439511e-174,2.373443e-20
259.322,2.338583e-25,9.367548e-253,3.252238e-07,8.888366e-172,5.932417e-21
260.1695,3.655897e-26,3.006649e-250,6.524357e-07,1.031866e-169,1.453519e-21
261.0169,5.553402e-27,9.376989e-248,1.289816e-06,1.163988e-167,3.490965e-22
261.8644,8.196871e-28,2.841633e-245,2.512769e-06,1.275844e-165,8.218762e-23
262.7119,1.175604e-28,8.367511e-243,4.824051e-06,1.358847e-163,1.896721e-23
263.5593,1.638316e-29,2.394134e-240,9.126533e-06,1.406266e-161,4.290781e-24
264.4068,2.218494e-30,6.656174e-238,1.70151e-05,1.414126e-159,9.514924e-25
265.2542,2.919057e-31,1.798145e-235,3.126062e-05,1.38176e-157,2.068285e-25
266.1017,3.73208e-32,4.72007e-233,5.659726e-05,1.311901e-155,4.407084e-26
266.9492,4.636423e-33,1.203916e-230,0.0001009783,1.210301e-153,9.205096e-27
267.7966,5.59679e-34,2.983786e-228,0.0001775395,1.08495e-151,1.884696e-27
268.6441,6.564761e-35,7.1856e-226,0.0003076073,9.450386e-150,3.7826e-28
269.4915,7.482084e-36,1.681443e-223,0.0005252099,7.998589e-148,7.441756e-29
270.339,8.2861e-37,3.823186e-221,0.000883698,6.57811e-146,1.435147e-29
271.1864,8.916647e-38,8.446803e-219,0.001465242,5.256694e-144,2.713024e-30
272.0339,9.323455e-39,1.813356e-216,0.00239414,4.081766e-142,5.027437e-31
272.8814,9.472749e-40,3.782665e-214,0.003855,3.079693e-140,9.132208e-32
273.7288,9.351882e-41,7.667193e-212,0.006116934,2.257826e-138,1.626076e-32
274.5763,8.971104e-42,1.510076e-209,0.009564842,1.608413e-136,2.838194e-33
275.4237,8.362124e-43,2.889915e-207,0.01473861,1.113341e-134,4.856006e-34
276.2712,7.573754e-44,5.373969e-205,0.0223805,7.488297e-133,8.144273e-35
277.1186,6.665452e-45,9.710222e-203,0.03349019,4.893974e-131,1.338941e-35
277.9661,5.699962e-46,1.704853e-200,0.04938558,3.107879e-129,2.157778e-36
278.8136,4.736288e-47,2.908497e-198,0.07176577,1.917743e-127,3.408693e-37
279.661,3.82409e-48,4.821412e-196,0.1027706,1.149848e-125,5.278434e-38
280.5085,3.000143e-49,7.766112e-194,0.1450292,6.69907e-124,8.01232e-39
281.3559,2.287071e-50,1.215505e-191,0.2016863,3.792385e-122,1.192196e-39
282.2034,1.694109e-51,1.848562e-189,0.2763962,2.086095e-120,1.738893e-40
283.0508,1.219345e-52,2.731713e-187,0.3732694,1.115012e-118,2.486188e-41
283.8983,8.527781e-54,3.922472e-185,0.4967607,5.790941e-117,3.484427e-42
284.7458,5.79521e-55,5.472788e-183,0.6514885,2.922419e-115,4.787013e-43
285.5932,3.826716e-56,7.419611e-181,0.8419783,1.433044e-113,6.446647e-44
286.4407,2.455314e-57,9.774118e-179,1.072333,6.828112e-112,8.510189e-45
287.2881,1.530777e-58,1.251117e-176,1.345839,3.161298e-110,1.101236e-45
288.1356,9.273431e-60,1.556116e-174,1.664527,1.422179e-108,1.396876e-46
288.9831,5.458746e-61,1.880659e-172,2.028727,6.216799e-107,1.736886e-47
289.8305,3.122261e-62,2.208523e-170,2.436637,2.640604e-105,2.116999e-48
290.678,1.735279e-63,2.520099e-168,2.883983,1.089842e-103,2.529333e-49
291.5254,9.371162e-65,2.794198e-166,3.363792,4.370667e-102,2.962289e-50
292.3729,4.917466e-66,3.010375e-164,3.866342,1.703161e-100,3.400829e-51
293.2203,2.507339e-67,3.151432e-162,4.379312,6.44893e-99,3.827174e-52
294.0678,1.242249e-68,3.205672e-160,4.88817,2.372703e-97,4.221897e-53
294.9153,5.980372e-70,3.168502e-158,5.376767,8.482483e-96,4.565339e-54
295.7627,2.797509e-71,3.043077e-156,5.828151,2.946636e-94,4.83921e-55
296.6102,1.271565e-72,2.839851e-154,6.225511,9.946122e-93,5.028193e-56
297.4576,5.616034e-74,2.575148e-152,6.553206,3.262158e-91,5.121362e-57
298.3051,2.410153e-75,2.26899e-150,6.797783,1.039633e-89,5.113225e-58
299.1525,1.00504e-76,1.942616e-148,6.948889,3.219429e-88,5.004267e-59
300,4.072359e-78,1.616088e-146,7,9.687276e-87,4.800892e-60
300.8475,1.603365e-79,1.306373e-144,6.948889,2.832359e-85,4.51481e-61
301.6949,6.133987e-81,1.026108e-142,6.797783,8.046717e-84,4.161913e-62
302.5424,2.280221e-82,7.83146e-141,6.553206,2.22133e-82,3.76082e-63
303.3898,8.236356e-84,5.807863e-139,6.225511,5.958422e-81,3.331257e-64
304.2373,2.890793e-85,4.185177e-137,5.828151,1.553007e-79,2.892476e-65
305.0847,9.858771e-87,2.930455e-135,5.376767,3.933138e-78,2.461883e-66
305.9322,3.267025e-88,1.993794e-133,4.88817,9.678966e-77,2.054002e-67
306.7797,1.051976e-89,1.318103e-131,4.379312,2.314422e-75,1.67985e-68
307.6271,3.29142e-91,8.467246e-130,3.866342,5.377496e-74,1.346717e-69
308.4746,1.000655e-92,5.28517e-128,3.363792,1.214064e-72,1.058322e-70
309.322,2.956035e-94,3.205528e-126,2.883983,2.66334e-71,8.152588e-72
310.1695,8.485129e-96,1.889139e-124,2.436637,5.67722e-70,6.15615e-73
311.0169,2.366635e-97,1.081813e-122,2.028727,1.175895e-68,4.556788e-74
311.8644,6.413984e-99,6.019557e-121,1.664527,2.366603e-67,3.306318e-75
312.7119,1.689073e-100,3.254622e-119,1.345839,4.628135e-66,2.351615e-76
313.5593,4.322083e-102,1.70986e-117,1.072333,8.794487e-65,1.639548e-77
314.4068,1.075205e-103,8.728592e-116,0.8419783,1.623824e-63,1.120515e-78
315.2542,3.431416e-105,4.32964e-114,0.6514885,2.913339e-62,7.506673e-80
316.1017,1.210821e-104,2.086812e-112,0.4967607,5.078871e-61,4.929618e-81
316.9492,1.712623e-103,9.773242e-111,0.3732694,8.60334e-60,3.173329e-82
317.7966,2.39918e-102,4.447519e-109,0.2763962,1.41609e-58,2.002409e-83
318.6441,3.31209e-101,1.966622e-107,0.2016863,2.264845e-57,1.238587e-84
319.4915,4.505842e-100,8.449826e-106,0.1450292,3.519735e-56,7.50994e-86
320.339,6.040661e-99,3.527756e-104,0.1027706,5.315026e-55,4.463569e-87
321.1864,7.980453e-98,1.431111e-102,0.07176577,7.798743e-54,2.600543e-88
322.0339,1.038975e-96,5.641202e-101,0.04938558,1.111905e-52,1.48519e-89
322.8814,1.332962e-95,2.160698e-99,0.03349019,1.540404e-51,8.314494e-91
323.7288,1.685251e-94,8.041558e-98,0.0223805,2.073602e-50,4.56274e-92
324.5763,2.099647e-93,2.908106e-96,0.01473861,2.712315e-49,2.454435e-93
325.4237,2.577879e-92,1.02189e-94,0.009564842,3.447296e-48,1.294236e-94
326.2712,3.118985e-91,3.489169e-93,0.006116934,4.257366e-47,6.689774e-96
327.1186,3.718765e-90,1.157614e-91,0.003855,5.108897e-46,3.389576e-97
327.9661,4.36937e-89,3.731892e-90,0.00239414,5.957132e-45,1.683508e-98
328.8136,5.059103e-88,1.169011e-88,0.001465242,6.749494e-44,8.196365e-100
329.661,5.772486e-87,3.558211e-87,0.000883698,7.430688e-43,3.911679e-101
330.5085,6.49063e-86,1.052371e-85,0.0005252099,7.948967e-42,1.829958e-102
331.3559,7.191929e-85,3.024333e-84,0.0003076073,8.26259e-41,8.391802e-104
332.2034,7.853054e-84,8.445288e-83,0.0001775395,8.34537e-40,3.772291e-105
333.0508,8.450189e-83,2.291517e-81,0.0001009783,8.190281e-39,1.662231e-106
333.8983,8.96043e-82,6.04165e-80,5.659726e-05,7.810448e-38,7.179815e-108
334.7458,9.363235e-81,1.54779e-78,3.126062e-05,7.237305e-37,3.039984e-109
335.5932,9.641788e-80,3.852939e-77,1.70151e-05,6.516309e-36,1.261727e-110
336.4407,9.784168e-79,9.319578e-76,9.126533e-06,5.700991e-35,5.133286e-112
337.2881,9.784189e-78,2.190404e-74,4.824051e-06,4.846441e-34,2.047206e-113
338.1356,9.64185e-77,5.002372e-73,2.512769e-06,4.003311e-33,8.0032e-115
338.9831,9.363334e-76,1.110073e-71,1.289816e-06,3.213213e-32,3.066915e-116
339.8305,8.960564e-75,2.393598e-70,6.524357e-07,2.506015e-31,1.152062e-117
340.678,8.450351e-74,5.015042e-69,3.252238e-07,1.899117e-30,4.24215e-119
341.5254,7.853238e-73,1.020991e-67,1.597576e-07,1.398439e-29,1.531201e-120
342.3729,7.192128e-72,2.019728e-66,7.733484e-08,1.000597e-28,5.417692e-122
343.2203,6.490837e-71,3.882289e-65,3.689127e-08,6.956626e-28,1.879025e-123
344.0678,5.772695e-70,7.251145e-64,1.73423e-08,4.699613e-27,6.388321e-125
344.9153,5.059308e-69,1.31598e-62,8.03386e-09,3.084959e-26,2.129006e-126
345.7627,4.369566e-68,2.320683e-61,3.667554e-09,1.967707e-25,6.955096e-128
346.6102,3.718947e-67,3.976548e-60,1.649922e-09,1.219538e-24,2.227232e-129
347.4576,3.119151e-66,6.620952e-59,7.314505e-10,7.344366e-24,6.991391e-131
348.3051,2.578027e-65,1.07117e-57,3.195516e-10,4.297709e-23,2.151285e-132
349.1525,2.099776e-64,1.683916e-56,1.375726e-10,2.443675e-22,6.488856e-134
350,1.685362e-63,2.572209e-55,5.836563e-11,1.350125e-21,1.918556e-135
350.8475,1.333055e-62,3.817825e-54,2.440154e-11,7.248167e-21,5.560537e-137
351.6949,1.039053e-61,5.506169e-53,1.005337e-11,3.780997e-20,1.579774e-138
352.5424,7.981082e-61,7.716261e-52,4.081699e-12,1.916498e-19,4.399561e-140
353.3898,6.041163e-60,1.050723e-50,1.63307e-12,9.439178e-19,1.201046e-141
354.2373,4.506236e-59,1.390251e-49,6.438777e-13,4.517352e-18,3.214001e-143
355.0847,3.312393e-58,1.787402e-48,2.501707e-13,2.100668e-17,8.430792e-145
355.9322,2.39941e-57,2.23293e-47,9.578647e-14,9.491938e-17,2.167838e-146
356.7797,1.71278e-56,2.710515e-46,3.614153e-14,4.167505e-16,5.464131e-148
357.6271,1.204852e-55,3.197071e-45,1.343827e-14,1.777957e-15,1.350055e-149
358.4746,8.352183e-55,3.664179e-44,4.923966e-15,7.370387e-15,3.269775e-151
359.322,5.705597e-54,4.080609e-43,1.777957e-15,2.968815e-14,7.762835e-153
360.1695,3.840934e-53,4.415675e-42,6.32648e-16,1.161983e-13,1.806587e-154
361.0169,2.548045e-52,4.64294e-41,2.218388e-16,4.419167e-13,4.121291e-156
361.8644,1.665759e-51,4.743653e-40,7.665627e-17,1.63307e-12,9.216026e-158
362.7119,1.073128e-50,4.709303e-39,2.610312e-17,5.863989e-12,2.02018e-159
363.5593,6.812804e-50,4.542806e-38,8.759346e-18,2.045999e-11,4.340829e-161
364.4068,4.262209e-49,4.258097e-37,2.896581e-18,6.936515e-11,9.143051e-163
365.2542,2.627714e-48,3.878206e-36,9.439178e-19,2.285079e-10,1.887755e-164
366.1017,1.596453e-47,3.43218e-35,3.031219e-19,7.314505e-10,3.820641e-166
366.9492,9.558041e-47,2.951433e-34,9.592574e-20,2.275058e-09,7.579887e-168
367.7966,5.639183e-46,2.466152e-33,2.99149e-20,6.875811e-09,1.474094e-169
368.6441,3.278673e-45,2.002306e-32,9.193368e-21,2.0192e-08,2.810113e-171
369.4915,1.878515e-44,1.579665e-31,2.784174e-21,5.761803e-08,5.251198e-173
